codigo;titulo;tipo_publicacion;anio_publicacion;indexacion;orden_autor;autores;nombre_afiliacion
5281;Smart Irrigation System for Smart Farming;ARTÍCULO DE CONFERENCIA;2017;SIN INDEXAR;1;Pedro Alexander Tenezaca Sari;Universidad de Cuenca, Departamento de Ciencias de la Computación
5283;Propuesta Metodológica de Evaluación de Seguridad para Aplicaciones de Mobile Cloud Computing;ARTÍCULO;2017;DOAJ;1;Diego Xavier Jara Juarez;Universidad de Cuenca, Departamento de Ciencias de la Computación
5284;Metodología para la Selección de Sistemas Enterprise Resource Planning Desplegados en la Nube para Pequeñas y Medianas Empresas: Aproximación Alineada con la Realidad Ecuatoriana;ARTÍCULO;2017;DOAJ;1;Fabian Hernando Carrion Matute;Universidad de Cuenca, Departamento de Ciencias de la Computación
5285;Evaluación de la Accesibilidad de MOOC Orientados a la Tercera Edad;ARTÍCULO;2017;DOAJ;1;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5288;Herramienta para el monitoreo del uso de redes sociales por parte de adultos mayores;ARTÍCULO DE CONFERENCIA;2017;DOAJ;3;Eddison Marcelo Lazo Enriquez;Universidad de Cuenca, Departamento de Ciencias de la Computación
5290;MOOCEP: A Method for Building Massive Open Online Courses for Elderly People The Analysis Activity;ARTÍCULO DE CONFERENCIA;2017;SCOPUS;1;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5297;A Monitoring Infrastructure for the Quality Assessment of Cloud Services;ARTÍCULO DE CONFERENCIA;2016;SIN INDEXAR;1;Irene Priscila Cedillo Orellana;Universidad de Cuenca, Departamento de Ciencias de la Computación
5298;Hacia una Revisión Sistemática de la Calidad de Servicios en la Nube en Combinación con el Internet de las Cosas: Protocolo y Definición del Problema;ARTÍCULO DE CONFERENCIA;2016;SIN INDEXAR;3;Andrea Patricia Guevara Toledo;Universidad de Cuenca, Departamento de Ciencias de la Computación
5333;Instrucciones para la vida. Entrevista a Lucía Calamaro;ARTÍCULO;2021;LATINDEX;1;Benito  Cañada Rangel;Universidad de Cuenca, Departamento de Ciencias de la Computación
5361;UI-Test: A Model-based Framework for Visual UI Testing– Qualitative and Quantitative Evaluation;ARTÍCULO DE CONFERENCIA;2022;SCOPUS;1;Bryan Andres Alba Sarango;Universidad de Cuenca, Departamento de Ciencias de la Computación
